code_region,nom_region,tmja_moyen
11,Île-de-France,76645.82092782088
24,Centre-Val de Loire,22468.850278284517
27,Bourgogne-Franche-Comté,18410.13634847021
28,Normandie,22486.70679973621
32,Hauts-de-France,26403.50689655172
44,Grand Est,28412.51006452377
52,Pays de la Loire,28783.536944227275
53,Bretagne,38912.74224791014
75,Nouvelle-Aquitaine,21339.80622047798
76,Occitanie,24522.135288930356
84,Auvergne-Rhône-Alpes,26119.456572870226
93,Provence-Alpes-Côte d'Azur,35956.11853220853
