,field_1,annee,tmja_moyen
0,0,2007,35660.1569992266
1,1,2008,36630.98896079178
2,2,2009,36462.08874120407
3,3,2010,38207.429243575825
4,4,2011,39014.38638163104
5,5,2012,34451.70788324523
6,6,2013,33244.72327672328
7,7,2014,34380.035678137654
8,8,2015,34997.44811083123
9,9,2016,33159.68611521418
10,10,2017,31987.978870004594
11,11,2018,31458.977169981918
12,12,2019,32489.75086875167
